Time,fruit,fruit,fruit,sport,sport,sport,bird,bird,bird,vehicle,vehicle,vehicle,crime,crime,crime,vegetable,vegetable,vegetable
Stamp,apple,fig,strawberry,football,hockey,wrestling,ostrich,wren,robin,boat,tricycle,car,embezzling,murder,vagrancy,parsley,carrot,onion
5/3/16 17:04,1,5,1,2,3,3,2,7,2,1,6,1,3,1,7,5,3,4
5/3/16 18:03,1,6,1,1,2,3,1,6,6,5,5,1,6,1,6,2,3,4
5/3/16 19:05,1,5,2,1,3,4,3,1,1,4,6,1,2,1,3,3,1,1
5/3/16 19:20,1,4,1,1,1,1,4,1,1,3,5,1,1,1,1,1,1,1
5/3/16 19:39,2,5,4,2,7,5,6,4,3,5,7,1,4,1,6,5,1,2
5/3/16 20:09,1,4,1,1,1,2,2,1,1,2,2,1,3,1,5,4,1,1
5/3/16 21:00,1,4,1,1,1,2,1,4,1,1,4,1,1,1,6,5,1,1
5/3/16 21:32,1,1,1,1,1,1,5,1,1,3,6,1,4,1,3,4,1,1
5/3/16 21:47,1,1,1,1,2,1,3,2,1,2,3,1,1,1,2,2,1,1
5/3/16 22:15,1,5,1,1,2,3,4,5,1,2,6,1,1,1,7,6,1,1
5/3/16 22:22,1,4,2,1,2,3,3,4,1,3,5,1,2,1,5,4,1,3
5/3/16 22:24,1,3,1,1,2,3,3,2,1,3,4,1,1,1,3,3,2,4
5/3/16 23:04,1,3,1,1,1,1,3,3,1,4,3,1,2,1,5,5,1,5
5/3/16 23:22,1,6,3,1,3,4,6,7,1,6,7,1,5,1,7,7,3,6
5/3/16 23:23,1,1,1,1,1,1,1,1,1,3,3,1,3,1,4,7,1,3
5/3/16 23:37,1,1,1,1,1,1,2,2,1,2,3,1,1,1,1,1,1,1
5/3/16 23:48,1,6,2,1,5,5,5,4,2,6,7,1,6,1,7,7,2,5
5/3/16 23:49,1,4,1,1,1,1,1,1,1,1,6,1,1,1,2,3,1,1
5/4/16 0:18,1,5,3,1,1,3,3,6,2,6,6,1,6,1,7,5,1,1
5/4/16 0:20,1,4,2,1,2,4,5,3,1,3,5,1,3,1,5,4,2,4
5/4/16 0:29,1,3,2,1,3,5,6,2,3,1,3,1,3,1,6,6,2,3
5/4/16 0:47,1,2,1,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1
5/4/16 0:48,1,5,1,1,2,2,2,2,2,4,6,1,1,1,7,5,1,4
5/4/16 0:49,1,3,3,1,3,3,4,5,1,2,5,1,3,1,5,5,1,5
5/4/16 1:03,1,3,1,1,2,3,1,5,3,2,3,1,3,1,5,5,1,3
5/4/16 1:04,1,5,2,1,4,3,6,4,1,5,7,1,4,1,6,4,2,3
5/4/16 1:05,1,3,2,1,1,3,3,2,1,2,3,1,2,1,2,3,1,1
5/4/16 1:19,1,5,1,1,1,5,5,2,2,3,6,2,5,2,7,5,2,3
5/4/16 1:23,1,4,1,1,1,2,1,2,1,2,4,1,1,1,2,1,1,1
5/4/16 1:38,1,3,2,1,3,5,5,6,1,4,6,1,4,1,7,6,2,4
5/4/16 2:32,1,4,1,1,5,5,6,6,1,6,7,1,6,1,6,7,1,5
5/4/16 3:02,1,2,1,1,1,1,3,1,1,2,3,1,2,1,5,5,1,3
5/4/16 3:11,1,5,1,1,1,1,1,3,1,5,7,1,4,1,5,4,1,1
5/4/16 4:02,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5/4/16 4:33,7,4,6,7,6,5,3,7,7,3,4,7,5,7,3,4,7,4
5/4/16 6:25,2,3,1,1,3,5,2,3,1,3,6,1,2,1,4,3,1,2
5/4/16 8:27,2,3,2,2,2,3,3,2,2,2,3,2,2,1,7,3,2,2
5/4/16 11:45,2,6,2,2,3,4,2,5,1,4,5,1,2,1,4,5,1,2
5/5/16 15:50,1,4,2,1,1,1,3,1,1,5,5,1,2,1,4,5,1,1
5/4/17 12:05,1,7,1,1,1,1,1,7,1,2,2,1,1,1,1,1,1,1
5/4/17 12:05,1,2,2,1,2,2,3,2,2,2,2,1,2,1,2,4,2,2
5/4/17 12:26,1,4,2,1,4,5,2,4,2,3,5,1,2,1,5,5,1,2
5/4/17 13:00,1,4,1,1,1,1,1,2,1,1,1,1,1,1,7,5,1,1
5/4/17 14:26,1,1,1,1,1,1,1,1,1,4,4,1,1,1,4,1,1,1
5/4/17 15:47,1,6,3,2,2,4,4,4,1,4,5,1,2,1,6,6,1,2
5/4/17 15:56,1,1,1,1,1,2,3,6,2,5,7,1,3,1,6,5,4,5
5/4/17 16:50,1,4,2,1,3,1,3,5,1,3,5,1,3,1,4,5,1,4
