percent_corr,time_normal,time_interfere,when,download
87.5,569.12 ms,776.01 ms,10 hours ago,"Tues, 7:45 AM"
100,729.93 ms,"1,071.08 ms",11 hours ago,"Tues, 7:45 AM"
98.39,953.57 ms,"1,093.50 ms",13 hours ago,"Tues, 7:45 AM"
100,647.57 ms,821.68 ms,14 hours ago,"Tues, 7:45 AM"
100,687.22 ms,832.31 ms,14 hours ago,"Tues, 7:45 AM"
100,"1,028.44 ms","1,139.67 ms",14 hours ago,"Tues, 7:45 AM"
100,793.32 ms,783.50 ms,14 hours ago,"Tues, 7:45 AM"
90.32,"1,073.55 ms","1,829.42 ms",33 minutes ago,"Tues, 5:21 PM"
95,"1,032.71 ms","1,162.64 ms",1 hour ago,"Tues, 5:21 PM"
97.14,804.70 ms,926.64 ms,1 hour ago,"Tues, 5:21 PM"
100,"1,090.57 ms","1,298.03 ms",2 hours ago,"Tues, 5:21 PM"
100,"1,313.60 ms","1,282.33 ms",3 hours ago,"Tues, 5:21 PM"
97.67,866.61 ms,"1,164.54 ms",3 hours ago,"Tues, 5:21 PM"
90,681.19 ms,814.58 ms,3 hours ago,"Tues, 5:21 PM"
91.67,885.19 ms,"1,014.03 ms",3 hours ago,"Tues, 5:21 PM"
94.34,956.29 ms,"1,056.19 ms",4 hours ago,"Tues, 5:21 PM"
100,704.27 ms,882.75 ms,5 hours ago,"Tues, 5:21 PM"
96.72,707.51 ms,842.31 ms,6 hours ago,"Tues, 5:21 PM"
100,694.12 ms,925.39 ms,6 hours ago,"Tues, 5:21 PM"
95.45,876.60 ms,930.01 ms,6 hours ago,"Tues, 5:21 PM"
92.73,757.29 ms,996.29 ms,6 hours ago,"Tues, 5:21 PM"
93.89,758.92 ms,"1,046.96 ms",7 hours ago,"Tues, 5:21 PM"
100,713.97 ms,764.78 ms,8 hours ago,"Tues, 5:21 PM"
77.27,"1,219.90 ms","1,242.89 ms",22 minutes ago,"Weds, 7:16 AM"
100,"1,123.16 ms","1,231.15 ms",3 hours ago,"Weds, 7:16 AM"
100,"1,145.16 ms","1,342.82 ms",3 hours ago,"Weds, 7:16 AM"
95,"1,322.79 ms","1,346.43 ms",5 hours ago,"Weds, 7:16 AM"
95,"1,320.83 ms","1,488.28 ms",6 hours ago,"Weds, 7:16 AM"
87.95,"1,001.82 ms","1,236.54 ms",6 hours ago,"Weds, 7:16 AM"
98,938.26 ms,"1,081.61 ms",6 hours ago,"Weds, 7:16 AM"
97.44,849.87 ms,957.59 ms,7 hours ago,"Weds, 7:16 AM"
95.35,981.37 ms,"1,186.36 ms",7 hours ago,"Weds, 7:16 AM"
96.3,"1,039.33 ms","1,271.60 ms",7 hours ago,"Weds, 7:16 AM"
90,523.94 ms,813.97 ms,7 hours ago,"Weds, 7:16 AM"
95,531.77 ms,805.77 ms,7 hours ago,"Weds, 7:16 AM"
100,619.11 ms,905.81 ms,7 hours ago,"Weds, 7:16 AM"
89.47,"1,016.20 ms","1,165.94 ms",7 hours ago,"Weds, 7:16 AM"
90,822.35 ms,"1,428.01 ms",7 hours ago,"Weds, 7:16 AM"
90,622.75 ms,713.47 ms,7 hours ago,"Weds, 7:16 AM"
100,826.95 ms,"1,230.76 ms",7 hours ago,"Weds, 7:16 AM"
100,737.44 ms,814.30 ms,7 hours ago,"Weds, 7:16 AM"
95.24,793.80 ms,"1,128.33 ms",7 hours ago,"Weds, 7:16 AM"
90.48,"1,017.06 ms","1,416.25 ms",7 hours ago,"Weds, 7:16 AM"
90.48,"1,039.16 ms","1,504.97 ms",7 hours ago,"Weds, 7:16 AM"
80,"1,005.56 ms","1,364.88 ms",7 hours ago,"Weds, 7:16 AM"
94,920.77 ms,989.27 ms,8 hours ago,"Weds, 7:16 AM"
100,632.87 ms,841.77 ms,8 hours ago,"Weds, 7:16 AM"
96.67,793.34 ms,"1,353.08 ms",8 hours ago,"Weds, 7:16 AM"
100,971.89 ms,"1,207.03 ms",1 hour ago,"Weds, 8:55 AM"
94.59,"1,282.86 ms","1,453.87 ms",1 hour ago,"Weds, 8:55 AM"
