,fruit,fruit,fruit,sport,sport,sport,bird,bird,bird,vehicle,vehicle,vehicle,crime,crime,crime,vegetable,vegetable,vegetable
Timestamp,apple,fig,strawberry,football,hockey,wrestling,ostrich,wren,robin,boat,tricycle,car,embezzling,murder,vagrancy,parsley,carrot,onion
5/4/2017 12:05:49,1,2,2,1,2,2,3,2,2,2,2,1,2,1,2,4,2,2
5/4/2017 12:26:48,1,4,2,1,4,5,2,4,2,3,5,1,2,1,5,5,1,2
5/4/2017 13:00:10,1,4,1,1,1,1,1,2,1,1,1,1,1,1,7,5,1,1
5/4/2017 14:26:15,1,1,1,1,1,1,1,1,1,4,4,1,1,1,4,1,1,1
5/4/2017 15:47:50,1,6,3,2,2,4,4,4,1,4,5,1,2,1,6,6,1,2
5/4/2017 15:56:56,1,1,1,1,1,2,3,6,2,5,7,1,3,1,6,5,4,5
5/4/2017 16:50:39,1,4,2,1,3,1,3,5,1,3,5,1,3,1,4,5,1,4
5/4/2017 20:44:33,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1
5/4/2017 21:13:53,1,6,2,1,1,5,6,3,1,3,6,1,4,1,2,4,1,3
5/4/2017 21:15:50,1,1,3,4,4,4,3,3,3,2,2,2,2,2,5,4,4,4
5/5/2017 2:59:24,1,6,2,1,5,4,4,3,1,4,6,1,3,1,6,4,1,4
5/5/2017 10:08:01,1,3,2,1,1,2,3,6,1,5,3,1,3,1,3,3,1,3
5/5/2017 12:58:46,1,5,2,1,5,6,6,2,1,4,7,1,3,1,7,5,3,4
5/5/2017 14:52:14,1,3,1,2,2,1,1,1,1,2,3,1,1,1,3,2,1,1
5/5/2017 22:31:53,1,5,1,1,3,1,4,1,1,4,6,1,2,1,5,3,1,1
5/6/2017 12:35:41,1,3,1,1,4,4,2,4,2,2,5,1,3,1,4,6,1,3
5/6/2017 14:05:17,1,4,1,1,3,3,3,1,1,4,5,1,4,1,6,5,1,4
5/6/2017 14:12:21,1,6,3,3,6,6,6,4,2,3,7,1,6,2,6,7,2,5
5/6/2017 14:17:58,1,3,1,1,1,1,3,2,1,4,5,1,1,1,1,2,1,3
5/6/2017 14:30:03,1,4,1,1,1,2,3,6,1,5,7,1,2,1,6,2,1,1
5/6/2017 15:28:09,1,5,2,1,5,4,5,3,1,7,6,1,3,1,5,5,1,4
5/6/2017 21:01:50,1,7,1,1,1,1,1,7,1,1,5,1,3,1,6,5,1,1
5/6/2017 21:12:11,1,6,1,1,3,5,1,3,1,6,4,1,4,1,6,6,1,5
5/7/2017 11:09:50,1,7,1,1,3,7,4,7,1,6,7,1,6,1,7,7,1,1
5/7/2017 12:13:07,1,6,1,1,1,2,3,4,1,2,4,1,2,2,3,3,1,2
5/7/2017 12:41:12,1,3,1,1,2,2,1,7,1,3,6,1,6,1,7,3,1,1
5/7/2017 13:35:03,1,3,1,1,1,4,1,1,1,3,2,1,1,1,7,5,2,4
5/7/2017 14:53:59,1,3,1,1,2,3,2,1,1,5,4,1,1,1,5,2,1,3
